film_id,name,title_x,release_year_x,rating,rental_rate,rental_duration,first_name,last_name,title_y,release_year_y,full_name
1,Documentary,ACADEMY DINOSAUR,2006,PG,0.99,6,PENELOPE,GUINESS,ACADEMY DINOSAUR,2006,PENELOPE GUINESS
1,Documentary,ACADEMY DINOSAUR,2006,PG,0.99,6,CHRISTIAN,GABLE,ACADEMY DINOSAUR,2006,CHRISTIAN GABLE
1,Documentary,ACADEMY DINOSAUR,2006,PG,0.99,6,LUCILLE,TRACY,ACADEMY DINOSAUR,2006,LUCILLE TRACY
1,Documentary,ACADEMY DINOSAUR,2006,PG,0.99,6,SANDRA,PECK,ACADEMY DINOSAUR,2006,SANDRA PECK
1,Documentary,ACADEMY DINOSAUR,2006,PG,0.99,6,JOHNNY,CAGE,ACADEMY DINOSAUR,2006,JOHNNY CAGE
1,Documentary,ACADEMY DINOSAUR,2006,PG,0.99,6,MENA,TEMPLE,ACADEMY DINOSAUR,2006,MENA TEMPLE
1,Documentary,ACADEMY DINOSAUR,2006,PG,0.99,6,WARREN,NOLTE,ACADEMY DINOSAUR,2006,WARREN NOLTE
1,Documentary,ACADEMY DINOSAUR,2006,PG,0.99,6,OPRAH,KILMER,ACADEMY DINOSAUR,2006,OPRAH KILMER
1,Documentary,ACADEMY DINOSAUR,2006,PG,0.99,6,ROCK,DUKAKIS,ACADEMY DINOSAUR,2006,ROCK DUKAKIS
1,Documentary,ACADEMY DINOSAUR,2006,PG,0.99,6,MARY,KEITEL,ACADEMY DINOSAUR,2006,MARY KEITEL
3,Documentary,ADAPTATION HOLES,2006,NC-17,2.99,7,NICK,WAHLBERG,ADAPTATION HOLES,2006,NICK WAHLBERG
3,Documentary,ADAPTATION HOLES,2006,NC-17,2.99,7,BOB,FAWCETT,ADAPTATION HOLES,2006,BOB FAWCETT
3,Documentary,ADAPTATION HOLES,2006,NC-17,2.99,7,CAMERON,STREEP,ADAPTATION HOLES,2006,CAMERON STREEP
3,Documentary,ADAPTATION HOLES,2006,NC-17,2.99,7,RAY,JOHANSSON,ADAPTATION HOLES,2006,RAY JOHANSSON
3,Documentary,ADAPTATION HOLES,2006,NC-17,2.99,7,JULIANNE,DENCH,ADAPTATION HOLES,2006,JULIANNE DENCH
40,Documentary,ARMY FLINTSTONES,2006,R,0.99,4,ED,CHASE,ARMY FLINTSTONES,2006,ED CHASE
40,Documentary,ARMY FLINTSTONES,2006,R,0.99,4,CARY,MCCONAUGHEY,ARMY FLINTSTONES,2006,CARY MCCONAUGHEY
40,Documentary,ARMY FLINTSTONES,2006,R,0.99,4,MAE,HOFFMAN,ARMY FLINTSTONES,2006,MAE HOFFMAN
